"","Name.Final_research","Name.Final_practitioner","tool_name","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","Strategies.the.tool.can.support","DIMEL","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","greater_practitioner","lesser_practitioner","no_mixed_practitioner","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final_research","Description.Final_practitioner","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific"
"390","Non-neighbor implementer",NA,"Peace operations",4,3,1,0,-1,1,0,4,0,0,0,3,1,0,"Conflict, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Neighbor implementer","Neighbor implementer","The target and the tool implementer are in the same region or members of the same regional organization.","Non-neighbor implementer","The target and the tool implementer are not in the same region or members of the same regional organization.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,1,"The target and the tool implementer are not in the same region or members of the same regional organization.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"391","Use of private contractors/companies",NA,"Peace operations",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Use of private contractors/companies","Use_of_private_contractors","The peace operation deploys private security contractors or companies.","No use of private contractors/companies","The peace operation does not deploy private security contractors or companies.","Design","Peace operations factors",NA,NA,NA,NA,NA,NA,0,"The peace operation deploys private security contractors or companies.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"392","Democratic implementer",NA,"Peace operations",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Conflict, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Democratic implementer","Democratic implementer","The tool implementer is a democracy.","Autocratic implementer","The tool implementer is not a democracy.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer is a democracy.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"393","Democracy",NA,"Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Democracy","Democracy","The country under study is a democracy. (Note - For our review, we assume that findings associated with autocracy or authoritarian regime type can be considered equivalent to findings associated with the absence of democracy.)","Autocracy or authoritarian regime","The country under study is an autocracy or authoritarian regime.","Contextual","Domestic context ",NA,NA,NA,NA,NA,NA,0,"The country under study is a democracy. (Note - For our review, we assume that findings associated with autocracy or authoritarian regime type can be considered equivalent to findings associated with the absence of democracy.)",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"394","Flexibility and linkage to behavior","Flexibility and linkage to behavior","Peace operations",2,2,0,0,1.5,1.5,0,2,1,0,0,1,0,0,"Conflict, Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Flexibility and linkage to behavior","Flexibility_and_linkage_to_behavior","The use of the tool is flexible and linked to the behavior of the target--i.e., if the target improves their behavior, the tool is lifted.","Inflexibility and no linkage to behavior","The use of the tool is inflexible and not linked to the behavior of the target--i.e., if the target improves their behavior, the tool is not lifted.","Design","Implementer choices",3,0,0,3,13,0.230769230769231,0,"The use of the tool is flexible and linked to the behavior of the target--i.e., if the target improves their behavior, the tool is lifted.","The use of the tool is flexible and linked to the behavior of the target--i.e., if the target improves their behavior, the tool is lifted.","Moderate","Weaker","Moderate","Relatively weak","Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"395","Domestic punishment likely",NA,"Peace operations",1,1,0,0,1,1,0,1,1,0,0,0,0,0,"Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Domestic punishment likely","Domestic_punishment_likely","Punishment for the perpetrators of mass atrocities is likely in the domestic context.","Domestic punishment unlikely","Punishment for the perpetrators of mass atrocities is unlikely in the domestic context.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,0,"Punishment for the perpetrators of mass atrocities is likely in the domestic context.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"396","Two conflict parties",NA,"Peace operations",2,2,0,0,-1,1,0,2,0,0,0,2,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","More than two conflict parties","More than two parties","The country is experiencing a conflict consisting of more than two parties.","Two conflict parties","There are two parties to the conflict.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,1,"There are two parties to the conflict.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"397","Implementer has clear command and control",NA,"Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Implementer has clear command and control","Clear_command_and_control","The tool implementer has clear command and control structures that are adhered to.","Implementer does not have clear command and control","The tool implementer does not have clear command and control structures that are adhered to.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer has clear command and control structures that are adhered to.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"398","Diverse troop-contributing countries",NA,"Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Diverse troop-contributing countries","Diversity of troop-contributing countries","The peace operation is comprised of troops from a diverse set of countries.","Non-diverse troop-contributing countries",NA,"Design","Peace operations factors",NA,NA,NA,NA,NA,NA,0,"The peace operation is comprised of troops from a diverse set of countries.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"399","Absence of unrealistic expectations",NA,"Peace operations",1,1,0,0,-0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Unrealistic expectations","Unrealistic_expectations","The implementer sets unrealistic expectations for the target’s behavior.","Absence of unrealistic expectations","The implementer does not set unrealistic expectations for the target’s behavior.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,1,"The implementer does not set unrealistic expectations for the target’s behavior.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"400","Existence of a peace agreement involving amnesties",NA,"Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Existence of a peace agreement involving amnesties","Peace agreements involving amnesties","There is a peace agreement involving amnesties.","Absence of a peace agreement involving amnesties","There is no peace agreement involving amnesties in the conflict.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,0,"There is a peace agreement involving amnesties.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"401","Experienced implementer",NA,"Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Experienced implementer","Experience","The tool implementer was previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.","Poorly-informed implementer","The tool implementer was not previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer was previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"402","High intensity conflict",NA,"Peace operations",1,0,0,1,0,0,0,1,0,0,1,0,0,0,"Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","High intensity conflict","High intensity conflict","The country is experiencing a conflict characterized by high-intensity fighting or a high death toll.","Low intensity conflict","The country is experiencing a conflict characterized by low-intensity fighting or a low death toll.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,0,"The country is experiencing a conflict characterized by high-intensity fighting or a high death toll.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"403","DDR mandate",NA,"Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","DDR mandate","DDR_mandate","The peace operation has a disarmament, demobilization, and reintegration mandate.","No DDR mandate","The peace operation does not have a disarmament, demobilization, and reintegration mandate.","Design","Peace operations factors",NA,NA,NA,NA,NA,NA,0,"The peace operation has a disarmament, demobilization, and reintegration mandate.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"404","Popular target",NA,"Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Popular target","Popular support","The target has popular support.","Unpopular target","The target lacks popular support.","Contextual","Target characteristics",NA,NA,NA,NA,NA,NA,0,"The target has popular support.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"405","Democratization mandate",NA,"Peace operations",1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Democratization mandate","Democratization_mandate","The tool has a democratization mandate or policy objective.","No democratization mandate","The tool does not have a democratization mandate or policy objective.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool has a democratization mandate or policy objective.",NA,"Weaker",NA,"Relatively weak",NA,"Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"406",NA,"Access to sufficient transport resources","Peace operations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Access to sufficient transport resources",NA,"The peace operation has sufficient access to transport resources, such as helicopters, to enable the movement of military and civilian personnel.","Insufficient access to transport resources","The peace operation does not have sufficient access to transport resources, such as helicopters, to enable the movement of military and civilian personnel.","Design","Peace operations factors",1,0,0,1,13,0.0769230769230769,NA,NA,"The peace operation has sufficient access to transport resources, such as helicopters, to enable the movement of military and civilian personnel.","None available","Weaker",NA,"Relatively weak","Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"407",NA,"Accountability and enforcement mechanism","Peace operations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Accountability and enforcement mechanism",NA,"The use of the tool includes an accountability and enforcement mechanism.","No accountability or enforcement mechanism.","The use of the tool lacks an accountability or enforcement mechanism.","Design","Implementer choices",1,0,0,1,13,0.0769230769230769,NA,NA,"The use of the tool includes an accountability and enforcement mechanism.","None available","Weaker",NA,"Relatively weak","Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"408",NA,"Accountability for implementer actions","Peace operations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","Military","Accountability for implementer actions",NA,"The implementer is held accountable for human rights abuses.","No accountability for implementer actions","The implementer is not held accountable for human rights abuses.","Design","Implementer choices",3,0,0,3,13,0.230769230769231,NA,NA,"The implementer is held accountable for human rights abuses.","None available","Weaker",NA,"Relatively weak","Peace operations_tool",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
