"","Name.Final","tool_name","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final","vote_count","research_qualitative","practitioner_qualitative","Dedoose.name_tool"
"293","Concurrent use of multiple tools","Naming and shaming",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes",1,0,0,1,0,1,0,0,0,"Concurrent use of multiple tools","Multi_tool","The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.","Single tool","No actors are implementing tools that are consistent with the goals of the tool.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.",1,"Weaker",NA,"Naming_and_shaming_tool"
"294","Absence of external assistance or foreign troops","Development assistance",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"External assistance or foreign troops","External_assistance","There are foreign troops active in the ongoing conflict situation or external actors are offering assistance to the conflict parties.","Absence of external assistance or foreign troops","There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.",0.5,"Weaker",NA,"Development assistance_tool"
"295","Early implementation","Development assistance",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Mass atrocities","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Early implementation","Early_in_conflict","The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.","Late implementation","The tool is implemented late in the conflict or slowly after the appearance of early warning signs or occurrence of mass atrocities.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.",0.5,"Weaker",NA,"Development assistance_tool"
"296","Limited scope","Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Limited scope","Limited scope","The tool is applied in a limited way or targets a limited set of issues within the conflict.","Broad scope","The tool targets a broad set of issues within the conflict.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is applied in a limited way or targets a limited set of issues within the conflict.",0.5,"Weaker",NA,"Mediation_tool"
"297","National atrocity prevention efforts","Prosecutions",1,1,0,0,1,1,0,1,1,0,0,0,0,0,"Mass atrocities","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes",1,0,0,1,0,0,0,0,1,"National atrocity prevention efforts","National atrocity prevention efforts","The government of the country under study is concurrently taking other actions to help prevent mass atrocities.","No national atrocity prevention efforts","The government of the country under study is not implementing other tools that are consistent with the goals of the tool.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The government of the country under study is concurrently taking other actions to help prevent mass atrocities.",1,"Weaker",NA,"Prosecutions_tool"
"298","Target lacks access to resources","Comprehensive economic sanctions",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict, Human rights violations, Violence against civilians","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions ""include broad-based trade restrictions and prohibit commercial activity with an entire country"" (GAO 2019, p. 4).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"Target has access to resources","Access to resources","The target has access to resources, such as oil or gemstones.","Target lacks access to resources","The target lacks access to resources, such as oil or gemstones, to continue the conflict.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,1,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",0.5,"Weaker",NA,"Comprehensive economic sanctions_tool"
"299","Absence of external assistance or foreign troops","Comprehensive economic sanctions",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions ""include broad-based trade restrictions and prohibit commercial activity with an entire country"" (GAO 2019, p. 4).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"External assistance or foreign troops","External_assistance","There are foreign troops active in the ongoing conflict situation or external actors are offering assistance to the conflict parties.","Absence of external assistance or foreign troops","There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.",0.5,"Weaker",NA,"Comprehensive economic sanctions_tool"
"300","Experienced implementer","Peace operations",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Experienced implementer","Experience","The tool implementer was previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.","Poorly-informed implementer","The tool implementer was not previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer was previously involved in efforts to use the tool in the conflict in which mass atrocities are occurring.",0.5,"Weaker",NA,"Peace operations_tool"
"301","Sanctions target leader family members","Diplomatic sanctions",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Severing or downgrading diplomatic relations to signal disapproval","Diplomatic sanctions include “severing formal diplomatic ties with a country or significantly downgrading ties from the normal level of diplomatic activity for foreign policy purposes” (Maller 2009, p. 512). Diplomatic sanctions may specifically entail not recognizing a regime in public statements, withdrawing staff from or closing an embassy, “restrictions on travel for specific leaders” (MacGregor and Bowles 2012, p. 445), and “suspension of membership or expulsion from international or regional bodies” (ICISS 2001, p. 31). Diplomatic sanctions are intended to “signal disapproval of the target regime's behaviour, and also to signal the possibility of subsequent punitive measures should that behaviour not change” (Krain 2014, p. 27).","If diplomatic sanctions impose reputational costs on potential perpetrators and/or increase their expectation that external actors will impose other costs in the future in response to atrocities, they would reduce the likelihood of mass atrocities. In addition, if diplomatic sanctions damage an abusive leader’s domestic standing, they would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational",NA,1,0,0,1,0,1,0,0,0,"Sanctions target leader family members","Leader family members","The tool targets the leader’s family members.",NA,NA,"Design","Implementer choices ",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool targets the leader’s family members.",0.5,"Weaker",NA,"Diplomatic sanctions_tool"
"302","Strategic interest","Development assistance",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Strategic interest","Strategic_interest","The tool implementer has a strategic interest in the country under study, such as an economic, security, or broader interest.",NA,NA,"Contextual","Implementer characteristics ",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a strategic interest in the country under study, such as an economic, security, or broader interest.",-0.5,"Weaker",NA,"Development assistance_tool"
"303","Implementer has strong leverage","Development assistance",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Human rights violations, Mass atrocities","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Implementer has strong leverage","Implementer leverage","The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.","Implementer has weak leverage","The tool implementer (1) has a low degree of relative power in the international system, (2) is not a member of the “Permanent Five” (P5) countries on the UN Security Council, or (3) has weak leverage over the conflict parties","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.",0.5,"Weaker",NA,"Development assistance_tool"
"304","Cohesive implementer","Development assistance",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Violence against civilians","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Cohesive implementer","Cohesive implementer","The tool implementer has a cohesive agenda.","Splintered implementer","The tool implementer has a splintered agenda.","Design","Implementer characteristics ",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a cohesive agenda.",0.5,"Weaker",NA,"Development assistance_tool"
"305","Consistent implementation","Support to non state armed groups",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Adverse consequences, Conflict, Human rights violations, Mass atrocities, Violence against civilians","Aid provided by a foreign state to a rebel group","Support to non-state armed groups is assistance--including “the provision of weapons, funds, logistics, military training and access to intelligence and sanctuaries"" (Karlen 2017, p. 16)--provided by a foreign state to a non-state armed group (often referred to as a rebel group). This review does not include analyses of direct military intervention in support of a non-state armed group.","If support to a non-state armed group enables the group to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if support to a non-state armed group enables it to defeat an abusive government and facilitate a political transition, it would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,1,1,1,0,1,1,0,"Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",0,"Weaker",NA,"Support to non state armed groups_tool"
"306","Implementer has strong leverage","Prosecutions",1,1,0,0,1,1,0,1,1,0,0,0,0,0,"Conflict, Human rights violations, Mass atrocities","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Implementer has strong leverage","Implementer leverage","The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.","Implementer has weak leverage","The tool implementer (1) has a low degree of relative power in the international system, (2) is not a member of the “Permanent Five” (P5) countries on the UN Security Council, or (3) has weak leverage over the conflict parties","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.",1,"Weaker",NA,"Prosecutions_tool"
"307","Early implementation","Comprehensive economic sanctions",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Mass atrocities","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions ""include broad-based trade restrictions and prohibit commercial activity with an entire country"" (GAO 2019, p. 4).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"Early implementation","Early_in_conflict","The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.","Late implementation","The tool is implemented late in the conflict or slowly after the appearance of early warning signs or occurrence of mass atrocities.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.",0.5,"Weaker",NA,"Comprehensive economic sanctions_tool"
"308","High intensity conflict","Peace operations",1,0,0,1,0,0,0,1,0,0,1,0,0,0,"Conflict, Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"High intensity conflict","High intensity conflict","The country is experiencing a conflict characterized by high-intensity fighting or a high death toll.","Low intensity conflict","The country is experiencing a conflict characterized by low-intensity fighting or a low death toll.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The country is experiencing a conflict characterized by high-intensity fighting or a high death toll.",0,"Weaker",NA,"Peace operations_tool"
"309","Cohesive implementer","Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Cohesive implementer","Cohesive implementer","The tool implementer has a cohesive agenda.","Splintered implementer","The tool implementer has a splintered agenda.","Design","Implementer characteristics ",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a cohesive agenda.",0.5,"Weaker",NA,"Mediation_tool"
"310","Large number of targets","Prosecutions",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Large number of targets","Large number of targets","The tool targets a large number of individuals.","Small number of targets","The tool targets a small number of individuals","Design","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,0,"The tool targets a large number of individuals.",0.5,"Weaker",NA,"Prosecutions_tool"
"311","Strong target","Development assistance",2,0,2,0,-1,-1,0,2,0,0,0,0,2,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Weak target","Weak","The target is considered weak.","Strong target","The target is considered strong.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,1,"The target is considered strong.",1,"Weaker",NA,"Development assistance_tool"
"312","Official mediation","Mediation",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Official mediation","Official_mediation","The mediation is track 1 or official diplomacy. (Note - For our review, we assume that findings associated with track 2, 1.5, or unofficial mediation can be considered equivalent to findings associated with non-official mediation.)","Unofficial mediation","The mediation is track 2 or 1.5 or unofficial diplomacy.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation is track 1 or official diplomacy. (Note - For our review, we assume that findings associated with track 2, 1.5, or unofficial mediation can be considered equivalent to findings associated with non-official mediation.)",0,"Weaker",NA,"Mediation_tool"
"313","NGO implementer","Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict, Human rights violations, Mass atrocities, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"NGO implementer","NGO implementer","The tool implementer is a non-governmental organization.","Non-NGO implementer","The tool implementer is not a non-governmental organization.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is a non-governmental organization.",0.5,"Weaker",NA,"Mediation_tool"
"314","Target leadership consistency","Mediation",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Target leadership change","Leadership change","The target experiences leadership change during the tool's use.","Target leadership consistency","The target experiences consistent leadership during the tool's use.","Contextual","Conflict dynamics ",0,1,0,0,0,0,0,NA,NA,NA,1,"The target experiences consistent leadership during the tool's use.",0.5,"Weaker",NA,"Mediation_tool"
"315","Target rebel group has a political wing","Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Target rebel group has a political wing","Rebel political wing","The target rebel group has a political wing.","The target rebel group does not have a political wing","The target rebel group does not have a political wing.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,0,"The target rebel group has a political wing.",0.5,"Weaker",NA,"Mediation_tool"
"316","Manipulative mediation","Mediation",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Manipulative mediation","Manipulative_mediation","The mediation effort is manipulative or aggressive.","Non-manipulative mediation","The mediation effort is not manipulative or aggressive.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation effort is manipulative or aggressive.",0.5,"Weaker",NA,"Mediation_tool"
