"","Name.Final","tool_name","Tool","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final","vote_count","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool"
"358","Strong government","Peace operations","Peace operations_tool",3,3,0,0,2,2,0,3,1,0,0,2,0,0,"Conflict, Human rights violations, Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Strong government","Strong government","The national government is strong, or has a high degree of resilience, adaptability, military experience, power, or territorial control.","Weak government","The government in the conflict is weak or has a low degree of resilience, adaptability, military experience, power, or territorial control.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,1,13,0.08,0,"The national government is strong, or has a high degree of resilience, adaptability, military experience, power, or territorial control.",2,"Moderate","Weaker","Moderate","Relatively weak","Peace operations_tool"
"359","Conflict termination goals","Peace operations","Peace operations_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Conflict termination goals","Conflict termination goals","The tool implementer’s policy objective is to end the civil war or conflict.","Non-conflict termination goals","The tool implementer’s policy objective is not to end the civil war or conflict.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer’s policy objective is to end the civil war or conflict.",0.5,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"360","Multidimensional mandate","Peace operations","Peace operations_tool",18,7,3,8,2,0,0,18,0,0,0,7,3,8,"Conflict, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Multidimensional mandate","Multidimensional_mandate","The peace operation has a mandate that is described as multidimensional, transformational, robust, or centered on enforcement or stabilization goals. These mandates include the use of force by peacekeepers for purposes other than the explicit protection of civilians.",NA,NA,"Design","Peace operations factors",0,0,0,0,0,0,1,1,13,0.08,0,"The peace operation has a mandate that is described as multidimensional, transformational, robust, or centered on enforcement or stabilization goals. These mandates include the use of force by peacekeepers for purposes other than the explicit protection of civilians.",0,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"361","Absence of external assistance or foreign troops","Peace operations","Peace operations_tool",5,0,4,1,-2,-1.75,0,5,0,0,0,0,4,1,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"External assistance or foreign troops","External_assistance","There are foreign troops active in the ongoing conflict situation or external actors are offering assistance to the conflict parties.","Absence of external assistance or foreign troops","There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,2,13,0.15,1,"There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.",1.75,"Moderate","Weaker","Moderate","Relatively weak","Peace operations_tool"
"362","Comprehensive settlement or peace agreement","Peace operations","Peace operations_tool",4,4,0,0,2,2,0,4,0,0,0,4,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Comprehensive settlement or peace agreement","Comprehensive_settlement_or_peace_agreement","There is a comprehensive settlement or peace agreement between the conflict parties.","No comprehensive settlement or peace agreement","There is no comprehensive settlement or peace agreement between the conflict parties.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,2,13,0.15,0,"There is a comprehensive settlement or peace agreement between the conflict parties.",2,"Moderate","Weaker","Moderate","Relatively weak","Peace operations_tool"
"363","International support or coordination","Peace operations","Peace operations_tool",20,18,0,2,10,9.5,0,20,2,0,0,16,0,2,"Conflict, Mass atrocities, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"International support or coordination","International support or coordination","There is a high degree of international support for the use of the tool, or the tool implementer coordinates with other international actors on the use of the tool.",NA,NA,"Design","International dynamics",0,0,0,0,0,1,0,11,13,0.85,0,"There is a high degree of international support for the use of the tool, or the tool implementer coordinates with other international actors on the use of the tool.",9.5,"Stronger","Stronger","Relatively strong","Relatively strong","Peace operations_tool"
"364","Cohesive implementer","Peace operations","Peace operations_tool",4,4,0,0,2,2,0,4,0,0,0,4,0,0,"Conflict, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Cohesive implementer","Cohesive implementer","The tool implementer has a cohesive agenda.","Splintered implementer","The tool implementer has a splintered agenda.","Design","Implementer characteristics ",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a cohesive agenda.",2,"Moderate","Weaker","Moderate","Relatively weak","Peace operations_tool"
"365","Committed implementer","Peace operations","Peace operations_tool",25,24,0,1,13,12.75,0,25,2,0,0,22,0,1,"Conflict, Mass atrocities, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,10,13,0.77,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",12.75,"Stronger","Stronger","Relatively strong","Relatively strong","Peace operations_tool"
"366","Use of women peacekeepers","Peace operations","Peace operations_tool",3,1,0,2,0.5,0,0,3,0,0,0,1,0,2,"Conflict, Human rights violations, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Use of women peacekeepers","Women_peacekeepers","The peace operation includes a relatively large percentage of women peacekeepers.","Absence of women peacekeepers","The peace operation includes a relatively large percentage of women peacekeepers.","Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The peace operation includes a relatively large percentage of women peacekeepers.",0,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"367","Conditionalities","Peace operations","Peace operations_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Conditionalities","Aid conditionalities","The tool implementer imposes specific conditions that the recipient must adhere to in order to receive the assistance.","Unconditional aid","The tool implementer does not impose specific conditions that the recipient must adhere to in order to receive the assistance.","Design","Implementer choices ",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer imposes specific conditions that the recipient must adhere to in order to receive the assistance.",0.5,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"368","Clear policy objectives","Peace operations","Peace operations_tool",11,10,1,0,4.5,4.5,0,11,0,0,0,10,1,0,"Conflict, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Clear policy objectives","Clear policy objectives","The implementer's objectives in using the tool are clear.","Absence of clear policy objectives","The implementer's objectives in using the tool are unclear.","Design","Implementer choices",0,0,0,1,0,0,0,8,13,0.62,0,"The implementer's objectives in using the tool are clear.",4.5,"Stronger","Moderate","Relatively strong","Moderate","Peace operations_tool"
"369","Observer mission","Peace operations","Peace operations_tool",19,4,9,6,-2.5,-1,0,19,0,0,0,4,9,6,"Conflict, Human rights violations, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Observer mission","Observer mission","The peace operation is an observer mission or has a traditional mandate that includes principles of consent, neutrality, or minimal use of force.",NA,NA,"Design","Peace operations factors",0,0,0,0,0,0,1,1,13,0.08,0,"The peace operation is an observer mission or has a traditional mandate that includes principles of consent, neutrality, or minimal use of force.",-1,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"370","Civilian component","Peace operations","Peace operations_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Civilian component","Civilian_component","The peace operation has a large civilian component.","No civilian component","The peace operation does not have a large civilian component.","Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The peace operation has a large civilian component.",0.5,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"371","Domestic justice or human rights infrastructure","Peace operations","Peace operations_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Human rights violations","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Domestic justice or human rights infrastructure","Domestic justice or human rights infrastructure","The country under study has a well-developed domestic justice infrastructure, has many human rights organizations, and/or has ratified international human rights treaties.","Limited domestic justice or human rights infrastructure","The country under study (1) has a poorly-developed domestic justice infrastructure; (2) has few human rights organizations; or (3) has not ratified key human rights treaties.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The country under study has a well-developed domestic justice infrastructure, has many human rights organizations, and/or has ratified international human rights treaties.",0.5,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"372","No use of safe areas","Peace operations","Peace operations_tool",1,0,1,0,-1,-1,0,1,0,1,0,0,0,0,"Mass atrocities","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Use of safe areas","Use_of_safe_areas","The peace operation uses safe areas.","No use of safe areas","The peace operation does not use safe areas.","Design","Peace operations factors",0,0,0,0,0,0,1,NA,NA,NA,1,"The peace operation does not use safe areas.",1,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"373","Highly developed state","Peace operations","Peace operations_tool",4,2,2,0,0,0,0,4,0,0,0,2,2,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Highly developed state","Highly developed state","The country under study is highly developed.","Less developed state","The country under study is not highly developed.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The country under study is highly developed.",0,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"374","Skilled implementer","Peace operations","Peace operations_tool",7,6,0,1,3,2.75,0,7,0,0,0,6,0,1,"Conflict, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Skilled implementer","Skills","The tool implementer is highly competent in the use of the tool.","Poorly-informed implementer","The tool implementer is incompetent in the use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is highly competent in the use of the tool.",2.75,"Moderate","Weaker","Moderate","Relatively weak","Peace operations_tool"
"375","Difficult terrain","Peace operations","Peace operations_tool",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Difficult terrain","Difficult terrain","The territory is mountainous or has terrain that is difficult to navigate.","Easy terrain","The territory is not mountainous or has terrain that is easy to navigate.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The territory is mountainous or has terrain that is difficult to navigate.",0,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"376","Absence of strong spoiler groups","Peace operations","Peace operations_tool",2,0,2,0,-1,-1,0,2,0,0,0,0,2,0,"Conflict","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Strong spoiler groups","Strong spoiler groups","There are powerful groups that have the desire and capacity to disrupt or damage peace initiatives in the country under study.","Absence of strong spoiler groups","There are no powerful vested interests, warring parties, third party actors or ""spoilers"" who have the desire and capacity to spoil peace outcomes in the country under study.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,2,13,0.15,1,"There are no powerful vested interests, warring parties, third party actors or ""spoilers"" who have the desire and capacity to spoil peace outcomes in the country under study.",1,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
"377","Balance of power or stalemate","Peace operations","Peace operations_tool",5,2,1,2,0.5,0,0,5,0,0,0,2,1,2,"Conflict, Violence against civilians","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,0,1,0,1,0,0,0,0,"Balance of power or stalemate","Balance of power or stalemate","The national government and non-state armed group(s) have similar levels of resilience, adaptability, military experience, power, or territorial control.",NA,NA,"Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The national government and non-state armed group(s) have similar levels of resilience, adaptability, military experience, power, or territorial control.",0,"Weaker","Weaker","Relatively weak","Relatively weak","Peace operations_tool"
